AK,78112
AL,454163
AR,287754
AZ,896481
CA,5841354
CO,1124741
CT,458416
DC,174988
DE,123715
FL,2259177
GA,1297760
GU,162
HI,110014
IA,310762
ID,200847
IL,1554790
IN,736053
KS,277829
KY,409769
LA,406856
MA,1276979
MD,952217
ME,119656
MI,899514
MN,779235
MO,556498
MP,31
MS,251131
MT,83152
NC,1086100
ND,80801
NE,156510
NH,162360
NJ,1053763
NM,189041
NV,382632
NY,1771785
OH,1282502
OK,335615
OR,467366
PA,1722800
PR,3713
RI,104092
SC,567580
SD,63652
TN,767854
TX,3355422
UT,358381
VA,1695499
VT,52227
WA,3033877
WI,594778
WV,151314
WY,77381
